Trade_Date,Issuer,Symbol,Lead/Joint-Lead_ Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day.1_% Px Chng ,$ Change_Opening,$ Change.1_Close,Star_Ratings,Performed
2005-08-04,Hoku Scientific ,HOKU,Piper Jaffray,6.0,6.01,5.36,-0.10666666666666663,0.009999999999999787,-0.6399999999999997,1,
2005-08-04,Baidu.com ,BIDU,Goldman Sachs/Creidt Suisse First Boston,27.0,66.0,122.54,3.5385185185185186,39.0,95.54,4,
2005-08-04,Dresser-Rand Group ,DRC,Morgan Stanley/Citigroup,21.0,22.01,22.8,0.08571428571428574,1.0100000000000016,1.8000000000000007,2,
2005-08-08,K&F Holdings Industries ,KFI,Goldman Sachs/Lehman Brothers,17.5,18.45,17.4,-0.005714285714285796,0.9499999999999992,-0.10000000000000142,3,Missed
2005-08-08,James River Group ,JRVR,Keefe Bruyette & Woods,18.0,18.15,20.0,0.1111111111111111,0.14999999999999858,2.0,2,
2005-08-08,Ruth's Chris Steak House ,RUTH,Banc of America/Wachovia,18.0,19.8,20.7,0.14999999999999994,1.8000000000000007,2.6999999999999997,3,
2005-08-08,Seaspan ,SSW,Citigroup/Merrill Lynch,21.0,21.1,21.3,0.014285714285714318,0.10000000000000142,0.3000000000000007,1,
2005-08-09,First Security Group ,FSGI,Keefe Bruyette & Woods,10.0,10.5,10.17,0.016999999999999994,0.5,0.16999999999999993,3,Missed
2005-08-09,China Medical Technologies ,CMED,UBS Investment Bank,15.0,15.45,16.2,0.07999999999999995,0.4499999999999993,1.1999999999999993,2,
2005-08-09,Coley Pharmaceutical Group ,COLY,Merrill Lynch/JP Morgan,16.0,18.55,18.88,0.17999999999999994,2.5500000000000007,2.879999999999999,3,
2005-08-09,RBC Bearings ,ROLL,Merrill Lynch,14.5,14.8,15.27,0.05310344827586204,0.3000000000000007,0.7699999999999996,1,
2005-08-09,Reddy Ice Holdings ,FRZ,Bear Stearns/Lehman Brothers/Credit Suisse First Boston,18.5,19.6,19.31,0.04378378378378371,1.1000000000000014,0.8099999999999987,3,
2005-08-10,CF Industries Holdings ,CF,Morgan Stanley/JP Morgan,16.0,16.25,16.2,0.012499999999999956,0.25,0.1999999999999993,2,Missed
2005-08-10,Heartland Payment Systems ,HPY,Citigroup,18.0,22.5,24.51,0.3616666666666668,4.5,6.5100000000000025,2,
2005-08-10,Refco ,RFX,Credit Suisse First Boston/Goldman Sachs/Banc of America,22.0,26.25,27.48,0.2490909090909091,4.25,5.48,3,
2005-08-15,Bronce Driling,BRNC,Johnson Rice/Jefferies,17.0,19.0,18.47,0.08647058823529405,2.0,1.4699999999999989,2,
2005-08-15,Kona Grill,KONA,Oppenheimer/Feltl,11.0,13.0,12.5,0.13636363636363635,2.0,1.5,2,
2005-08-16,Rockwood Holdings ,ROC,Goldman Sachs/Credit Suisse First Boston,20.0,19.72,20.0,0.0,-0.28000000000000114,0.0,1,
2005-08-17,Williams Partners ,WPZ,Lehman Brothers,21.5,24.9,25.5,0.18604651162790695,3.3999999999999986,4.0,3,
2005-08-18,Stone Acarde Acquisition ,SCDEU,Morgan Joseph,6.0,6.04,6.15,0.02500000000000006,0.040000000000000036,0.15000000000000036,1,
2005-08-18,Ithaka Acquisition ,ITHKU,EarlyBirdCaptial/ThinkEquity,6.0,5.95,5.85,-0.02500000000000006,-0.049999999999999815,-0.15000000000000036,1,
2005-08-23,Enterprise GP Holdings LP ,EPE,Citigroup/Lehman Brothers,28.0,33.05,32.55,0.1624999999999999,5.049999999999997,4.549999999999997,3,
2005-08-23,Ready Mix ,RMX,"Ladenburg, Thalmann/Wunderlich Securities",11.0,12.0,12.1,0.09999999999999996,1.0,1.0999999999999996,1,
2005-08-26,Ad.Venture Partners ,AVPAU,Wedbush Morgan,6.0,6.01,5.9,-0.01666666666666661,0.009999999999999787,-0.09999999999999963,1,
2005-09-09,Coconut Palm Acquisition ,CNUTU,Morgan Joseph/EarlyBirdCapital,6.0,6.2,6.2,0.03333333333333336,0.20000000000000015,0.20000000000000015,1,
2005-09-19,Williams Scotsman International ,WLSC,Citigroup/Lehman Brothers/CIBC World Markets,16.0,15.86,15.93,-0.004375000000000018,-0.14000000000000054,-0.07000000000000027,2,Missed
2005-09-20,Nexity Financial ,NXTY,Raymond James,16.0,16.31,16.25,0.015625,0.3099999999999987,0.25,1,
2005-09-21,Ikanos Communications ,IKAN,Citigroup/Lehman Brothers,12.0,13.3,13.0,0.08333333333333333,1.3000000000000007,1.0,2,
2005-09-22,North Pointe Holdings ,NPTE,SunTrust Robinson Humphrey,12.0,12.26,12.03,0.0024999999999999467,0.2599999999999998,0.029999999999999364,2,Missed
2005-09-22,Global Cash Access Holdings ,GCA,Goldman Sachs/JP Morgan,14.0,15.22,14.96,0.06857142857142863,1.2200000000000006,0.9600000000000009,3,
2005-09-26,Horizon Lines ,HRZ,Goldman Sachs/UBS Investment Bank,10.0,10.5,10.75,0.075,0.5,0.75,1,
2005-09-26,Sunesis Pharmaceuticals ,SNSS,Lehman Brothers/SG Cowen,7.0,7.09,6.5,-0.07142857142857142,0.08999999999999986,-0.5,1,
2005-09-27,TRX ,TRXI,Credit Suisse First Boston,9.0,9.0,9.06,0.006666666666666722,0.0,0.0600000000000005,1,
2005-09-28,Genomic Health ,GHDX,JP Morgan/Lehman Brothers,12.0,12.0,11.75,-0.02083333333333333,0.0,-0.25,2,Missed
2005-09-28,Taleo ,TLEO,Citigroup,14.0,14.01,13.6,-0.0285714285714286,0.009999999999999787,-0.4000000000000004,2,Missed
2005-09-28,Avalon Pharmaceuticals ,AVRX,W.R. Hambrecht + Co.,10.5,10.51,9.49,-0.09619047619047616,0.009999999999999787,-1.0099999999999998,1,
2005-09-28,Caribou Coffee ,CBOU,Merril Lynch/Thomas Weisel Partners,14.0,15.5,13.0,-0.07142857142857142,1.5,-1.0,2,
2005-09-28,Global Partners ,GLP,Lehman Brothers/KeyBanc Capital Markets,22.0,25.0,23.7,0.07727272727272724,3.0,1.6999999999999993,3,
2005-09-28,WebMD Health ,WBMD,Morgan Stanley/Citigroup/Goldman Sachs,17.5,19.8,24.4,0.3942857142857142,2.3000000000000007,6.899999999999999,2,
2005-09-29,State National Bancshares ,SNBI,Keefe Bruyette & Woods/Sandler O'Neill,26.0,27.6,26.0,0.0,1.6000000000000014,0.0,3,
2005-09-29,VistaPrint Limited ,VPRT,Goldman Sachs/Bear Stearns,12.0,12.27,15.25,0.2708333333333333,0.2699999999999996,3.25,2,
2005-10-05,StealthGas ,GASS,Cantor Fitzgerald,14.5,14.59,13.8,-0.04827586206896547,0.08999999999999986,-0.6999999999999993,2,Missed
2005-10-06,American Commercial Lines ,ACLI,Merrill Lynch/UBS Investment Bank,21.0,26.5,28.3,0.3476190476190477,5.5,7.300000000000002,1,Missed
2005-10-11,TAL International ,TAL,Credit Suisse First Boston/Deutsche Bank/Jefferies,18.0,18.0,18.0,0.0,0.0,0.0,2,Missed
2005-10-12,Double Hull Tankers ,DHT,Merrill Lynch/UBS Investment Bank,12.0,12.0,12.05,0.004166666666666726,0.0,0.05000000000000071,1,
2005-10-13,PokerTek ,PTEK,Feltl,11.0,11.3,10.25,-0.06818181818181818,0.3000000000000007,-0.75,2,Missed
2005-10-18,CBOT Holdings ,BOT,Credit Suisse First Boston/JP Morgan,54.0,80.75,80.3,0.487037037037037,26.75,26.3,4,
2005-10-19,Federal Services Acquisition ,FDSUA,CRT Capital Group,6.0,6.1,6.01,0.0016666666666666312,0.09999999999999963,0.009999999999999787,1,
2005-10-21,Paramount Acquisition ,PMQCU,EarlyBirdCapital,6.0,6.05,6.19,0.03166666666666673,0.049999999999999815,0.1900000000000004,1,
2005-10-21,NCI ,NCIT,Legg Mason Wood Walker/Raymond James,10.5,11.25,12.17,0.15904761904761905,0.75,1.67,2,
2005-10-24,Key Hospitality Acquisition ,KHPAU,Maxim Group,8.0,8.0,8.0,0.0,0.0,0.0,1,
2005-10-24,Platinum Energy Resources ,PGRIU,Casimir Capital/Cantor Fitzgerald,8.0,7.75,7.5,-0.0625,-0.25,-0.5,1,
2005-10-26,Cogdell Spencer ,CSA,Banc of America/Citigroup,17.0,17.0,17.0,0.0,0.0,0.0,1,
2005-10-26,Hercules Offshore ,HERO,Credit Suisse First Boston,20.0,23.5,21.9,0.09499999999999993,3.5,1.8999999999999984,3,
2005-10-26,MathStar ,MATH,Feltl,6.0,6.5,5.9,-0.01666666666666661,0.5,-0.09999999999999963,1,
2005-10-26,NxStage Medical ,NXTM,Merrill Lynch,10.0,10.2,11.76,0.17600000000000002,0.1999999999999993,1.7599999999999998,1,
2005-10-28,Electro-Optical Sciences ,MELA,ThinkEquity Partners/Stanford Group,5.0,6.5,7.71,0.542,1.5,2.71,1,Missed
2005-10-28,Accentia Biopharmaceuticals ,ABPI,Jefferies,8.0,8.0,7.25,-0.09375,0.0,-0.75,1,
2005-11-01,Cbeyond Communications ,CBEY,Deutsche Bank,12.0,12.0,12.0,0.0,0.0,0.0,1,
2005-11-01,Newkirk Realty Trust ,NKT,Bear Stearns/Credit Suisse First Boston,16.0,15.45,15.05,-0.05937499999999996,-0.5500000000000007,-0.9499999999999992,1,
2005-11-01,Website Pros ,WSPI,Friedman Billings Ramsey,10.0,10.02,10.01,0.0009999999999999788,0.01999999999999957,0.009999999999999787,1,
2005-11-08,Boardwalk Pipeline Partners L.P.,BWP,Citigroup/Lehamn Brothers,19.5,19.5,18.95,-0.028205128205128237,0.0,-0.5500000000000007,3,Missed
2005-11-08,CombinatoRx ,CRXX,SG Cowen/Pacific Growth Equities,7.0,7.09,7.85,0.12142857142857134,0.08999999999999986,0.8499999999999996,1,
2005-11-08,iRobot ,IRBT,Morgan Stanley/JP Morgan,24.0,29.51,26.7,0.11249999999999998,5.5100000000000025,2.6999999999999997,2,
2005-11-08,Saifun Semiconductors Ltd. ,SFUN,Lehman Brothers/Deutsche Bank,23.5,31.18,35.3,0.5021276595744679,7.68,11.799999999999995,3,
2005-11-10,Cold Spring Capital ,CDS-U,Deutsche Bank,6.0,5.8,5.9,-0.01666666666666661,-0.20000000000000015,-0.09999999999999963,1,
2005-11-10,Clear Channel Outdoor Holdings ,CCO,Goldman Sachs/Deutsche Bank/JP Morgan/Merrill Lynch/UBS Investment Bank,18.0,17.75,18.55,0.0305555555555556,-0.25,0.5500000000000007,1,
2005-11-10,IHS ,IHS ,Goldman Sachs/Citigroup,16.0,17.0,17.1,0.06875000000000009,1.0,1.1000000000000014,2,
2005-11-14,Vimicro International ,VIMC,Morgan Stanley,10.0,10.01,8.36,-0.16400000000000006,0.009999999999999787,-1.6400000000000006,1,
2005-11-15,IntercontinentalExchange ,ICE,Morgan Stanley/Goldman Sachs,26.0,39.0,39.25,0.5096153846153846,13.0,13.25,3,
2005-11-16,SunPower ,SPWR,Credit Suisse First Boston/Lehman Brothers,18.0,28.0,25.45,0.4138888888888889,10.0,7.449999999999998,3,
2005-11-17,AMERISAFE ,AMSF,Friedman Billings Ramsey/William Blair,9.0,9.02,9.0,0.0,0.01999999999999957,0.0,1,
2005-11-17,Dover Saddlery ,DOVR,W.R. Hambrecht+Co.,10.0,10.06,10.25,0.025,0.0600000000000005,0.25,1,
2005-11-17,Under Armour ,UARM,Goldman Sachs,13.0,31.0,25.3,0.9461538461538462,18.0,12.3,3,
2005-11-21,Tronox ,TRX,Lehman Brothers/JPMorgan,14.0,13.6,14.3,0.02142857142857148,-0.4000000000000004,0.3000000000000007,1,
2005-11-21,Union Drilling ,UDRL,JPMorgan/Jefferies,14.0,13.61,14.41,0.029285714285714293,-0.39000000000000057,0.41000000000000014,1,
2005-11-21,Brookdale Senior Living ,BKD,Goldman Sachs/Lehman Brothers,18.0,23.1,25.43,0.41277777777777774,5.100000000000001,7.43,2,
2005-11-29,Actions Semiconductor ,ACTS,Credit Suisse First Boston,8.0,7.9,8.0,0.0,-0.09999999999999963,0.0,1,
