Trade_Date,Issuer,Symbol,Lead/Joint-Lead_ Managers,Offer_Price,Opening_Price,1st Day_Close,1st_Day_Return,change_open,change_close,Star_Ratings,Performed,year,CUSIP,Offer Date,IPO Name,Ticker,VC Dummy,Rollup dummy,CRSP PERM,Dual dummy,Internet dummy,Post-Issue shares,Founding,uw_max_rank,top_tier_uw,month,avg_net_ipo,num_ipo,net_num_ipo,perc_price_above,ASVI,mean_SVI,week_-9,week_-8,week_-7,week_-6,week_-5,week_-4,week_-3,week_-2,week_-1,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9
2013-07-17,NRG Yield,NYLD,BofA Merrill Lynch,22.0,26.69,27.25,0.23863636363636365,4.690000000000001,5.25,2,,2013.0,62942X108,2013-07-16,NRG Yield Inc,NYLD,0,0,14030,1,0,68186250,1982.0,0.0,0,7.0,19.3,23.0,15,0.33,15.38412668421143,8.875,0.0,0.0,0.0,3.0,7.0,13.0,0.0,0.0,48.0,100.0,17.0,17.0,10.0,10.0,3.0,10.0,16.0,6.0,13.0
2013-07-18,OncoMed Pharmaceuticals,OMED,Jefferies/ Leerink Swann,17.0,28.16,27.18,0.5988235294117646,11.16,10.18,3,,2013.0,68234X102,2013-07-17,OncoMed Pharmaceuticals Inc,OMED,1,0,14055,0,0,.,2007.0,8.001,1,7.0,19.3,23.0,15,0.33,14.648420115681892,5.5,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,23.0,100.0,45.0,23.0,8.0,8.0,0.0,0.0,0.0,7.0,0.0
2013-07-18,UCP,UCP,Citigroup/ Deutsche Bank Securities/ Zelman Partners LLC,15.0,17.75,14.0,-0.06666666666666668,2.75,-1.0,2,Missed,2013.0,90265Y106,2013-07-17,UCP Inc,UCP,0,0,14042,1,0,18343100,2004.0,9.001,1,7.0,19.3,23.0,15,0.33,0.13497542159992282,86.625,88.0,80.0,77.0,87.0,87.0,86.0,85.0,92.0,99.0,83.0,77.0,77.0,67.0,67.0,74.0,84.0,91.0,93.0,92.0
2013-07-19,Diamond Resorts International,DRII,Credit Suisse/ BofA Merrill Lynch/ J.P. Morgan/ Guggenheim Securities,14.0,14.56,16.15,0.15357142857142847,0.5600000000000005,2.1499999999999986,1,,2013.0,25272T104,2013-07-18,Diamond Resorts International,DRII,0,0,14017,0,0,.,1996.0,9.001,1,7.0,19.3,23.0,15,0.33,0.16164132537155496,61.625,36.0,50.0,60.0,62.0,54.0,76.0,51.0,73.0,67.0,73.0,76.0,72.0,51.0,54.0,41.0,62.0,63.0,57.0,59.0
2013-07-19,Physicians Realty Trust,DOC,Wunderlich Securities/ Oppenheimer/ Janney Montgomery Scott/ JMP Securities/ BB&T Capital Markets,11.5,11.5,11.67,0.014782608695652169,0.0,0.16999999999999993,1,,2013.0,71943U104,2013-07-18,Physicians Realty Trust,DOC,0,0,14036,0,0,.,2013.0,7.001,0,7.0,19.3,23.0,15,0.33,14.731801689838347,6.125,12.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,25.0,100.0,37.0,0.0,12.0,0.0,12.0,12.0,23.0,11.0,0.0
2013-07-19,RetailMeNot,SALE,Morgan Stanley/ Goldman Sachs/ Credit Suisse,21.0,26.5,27.7,0.31904761904761897,5.5,6.699999999999998,2,,2013.0,76132B101,2013-07-18,RetailMeNot Inc,SALE,1,0,14057,0,1,.,2007.0,9.001,1,7.0,19.3,23.0,15,0.33,0.06453850030424446,30.375,28.0,28.0,29.0,30.0,30.0,31.0,32.0,31.0,32.0,36.0,33.0,39.0,37.0,38.0,35.0,32.0,31.0,28.0,33.0
2013-07-19,Rexford Industrial Realty,REXR,BofA Merrill Lynch/ Wells Fargo Securities/ FBR,14.0,14.75,14.04,0.0028571428571427964,0.75,0.03999999999999915,1,,2013.0,76169C100,2013-07-18,Rexford Industrial Realty Inc,REXR,0,0,14037,0,0,.,,8.001,1,7.0,19.3,23.0,15,0.33,0.0,6.125,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,100.0,0.0,98.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-23,Phillips 66 Partners LP,PSXP,J.P. Morgan/ Morgan Stanley,23.0,28.98,29.7,0.2913043478260869,5.98,6.699999999999998,3,,2013.0,718549207,2013-07-22,Phillips 66 Partners LP,PSXP,0,0,14035,1,0,0,2013.0,9.001,1,7.0,19.3,23.0,15,0.33,14.880221639784232,7.125,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,29.0,100.0,29.0,14.0,29.0,14.0,0.0,0.0,13.0,13.0,27.0
2013-07-24,Agios Pharmaceuticals,AGIO,"J.P. Morgan/ Goldman, Sachs & Co.",18.0,29.0,31.28,0.7377777777777779,11.0,13.28,3,,2013.0,00847X104,2013-07-23,Agios Pharmaceuticals Inc,AGIO,1,0,14044,0,0,.,2007.0,9.001,1,7.0,19.3,23.0,15,0.33,2.1972230958561103,13.375,6.0,6.0,0.0,23.0,6.0,12.0,6.0,0.0,54.0,100.0,29.0,18.0,18.0,12.0,6.0,11.0,5.0,11.0,17.0
2013-07-24,Heat Biologics,HTBX,Aegis Capital Corp.,10.0,10.0,9.57,-0.04299999999999997,0.0,-0.4299999999999997,1,,2013.0,42237K102,2013-07-23,Heat Biologics Inc,HTBX,1,0,14051,0,0,.,2008.0,3.0010000000000003,0,7.0,19.3,23.0,15,0.33,1.0208343265210558,37.625,16.0,16.0,32.0,16.0,33.0,17.0,34.0,85.0,68.0,100.0,33.0,50.0,17.0,33.0,33.0,16.0,0.0,16.0,31.0
